accession,prop_value
NCT01195480:I.2003,"Pre-existing severe lung disease (FEV1 or FVC<50% predicted) pre-HSCT or an oxygen requirement of>28% O2 supplementation or active pulmonary infiltrates on chest X-ray at the time scheduled for transduced CTL infusion"
NCT01195480:I.2004,"Serum bilirubin>3 times the upper limit of normal or an AST or ALT>5 times the upper limit of normal"
NCT01195480:I.2005,"Serum creatinine>3 times upper limit of normal"
NCT01195480:I.2006,"Active severe intercurrent infection at the time of transduced CTL infusion (if present consult with Chief investigator)."
NCT01195480:I.2007,"Patients in whom transduced donor-derived EBV-specific CTLs don't meet release criteria"
NCT01195480:I.2008,"Serologically positive for Hepatitis B, C or HIV pre-HSCT"
NCT01195480:I.2009,"Females of childbearing age with a positive pregnancy test"
NCT01196091:I.1001,"age at least 18 Years"
NCT01196091:I.1002,"Clinical diagnosis of SLE by American College of Rheumatology (ACR) criteria"
NCT01196091:I.1003,"Positive Antinuclear Antibody Test"
NCT01196091:I.1004,"Agree not to become pregnant throughout the course of the trial"
NCT01196091:I.1005,"Have the appropriate Safety of Estrogens in Lupus Erythematosus National Assessment - Systemic Lupus Erythematosus Disease Activity Index (SELENA-SLEDAI)score at screening"
NCT01196091:I.2001,"Have active severe Lupus kidney disease"
NCT01196091:I.2002,"Have active Central Nervous System or peripheral neurologic disease"
NCT01196091:I.2003,"Have received intravenous immunoglobulin (IVIg) within 180 days of randomization"
NCT01196091:I.2004,"Have active or recent infection within 30 days of screening"
NCT01196091:I.2005,"Have had a serious infection within 90 days of randomization"
NCT01196091:I.2006,"Have evidence or test positive for Hepatitis B"
NCT01196091:I.2007,"Viral hepatitis C, Hepatitis C Infection"
NCT01196091:I.2008,"HIV Seropositivity"
NCT01196091:I.2009,"Have evidence of active or latent tuberculosis (TB)"
NCT01196091:I.2010,"Presence of significant laboratory abnormalities at screening"
NCT01196091:I.2011,"Have had a malignancy in the past 5 years, except for cervical carcinoma in-situ or basal cell or squamous epithelial skin cell that were completely resected with no reoccurrence in the 3 yrs prior to randomization"
NCT01196091:I.2012,"Have received>40 mgs of prednisone or equivalent in the past 30 days"
NCT01196091:I.2013,"Have changed your dose of antimalarial drug in the past 30 days"
NCT01196091:I.2014,"Have changed your dose of immunosuppressive drug in the past 90 days"
NCT01196091:I.2015,"Have previously received rituximab"
NCT01197729:I.1001,"Age up to 1 Day"
NCT01197729:I.1002,"all patients admitted to hospital with an acute ST-Elevation myocardial infarction or with an acute Non-ST-Elevation myocardial infarction, both not older than 24 h"
NCT01197729:I.2001,"missing informed consent"
NCT01200758:I.1001,"age at least 18 Years"
NCT01200758:I.1002,"Adult (person)"
NCT01200758:I.1003,"CD20-positive, follicular Non-Hodgkin's lymphoma grade 1, 2, 3a. A tumor biopsy must have been performed within 6 months before study entry with material available for central review."
NCT01200758:I.1004,"No prior treatment"
NCT01200758:I.1005,"ECOG performance status 0-2"
NCT01200758:I.2001,"Follicular lymphoma grade IIIb"
NCT01200758:I.2002,"Transformation to high-grade lymphoma secondary to follicular lymphoma"
NCT01200758:I.2003,"Types of Non-Hodgkin's lymphoma other than follicular lymphoma"
NCT01200758:I.2004,"CNS disorder, Central Nervous System Disease"
NCT01200758:I.2005,"Corticoid therapy during the last 4 weeks, except prednisone treatment<20 mg per day"
NCT01204710:I.1001,"age at least 18 Years"
NCT01204710:I.1002,"histologically-confirmed adenocarcinoma of the prostate"
NCT01204710:I.1003,"radiographic evidence of metastatic prostate cancer (stage M1 or D2)"
NCT01204710:I.1004,"has prostate cancer unresponsive or refractory to medical or surgical castration with a serum testosterone level of<50 ng/mL"
NCT01204710:I.1005,"has had disease progression or intolerance on docetaxel-based therapy"
NCT01204710:I.1006,"Prostate-Specific Antigen"
NCT01204710:I.1007,"all clinically significant toxic effects of prior surgery, radiotherapy, chemotherapy or hormonal therapy have resolved to<= Grade 1, based on NCI CTCAE v 4.02"
NCT01204710:I.1008,"patient has an ECOG Performance Status 0-2"
NCT01204710:I.1009,"adequate hematologic function"
NCT01204710:I.1010,"adequate hepatic function"
NCT01204710:I.1011,"adequate renal function"
NCT01204710:I.1012,"urinary protein is<= 1 on dipstick or routine analysis"
NCT01204710:I.1013,"life expectancy of>3 months"
NCT01204710:I.1014,"fertile man with partners that are women of childbearing potential must use an adequate method of contraception during the study"
NCT01204710:I.1015,"signed Informed Consent document"
NCT01204710:I.2001,"concurrent active malignancy other than adequately treated nonmelanomatous skin cancer or other noninvasive or in situ neoplasms"
NCT01204710:I.2002,"The patient has received more than 1 prior cytotoxic chemotherapy regimen for metastatic disease"
NCT01204710:I.2003,"prior therapy with mitoxantrone for advanced prostate cancer"
NCT01204710:I.2004,"The patient has a history of symptomatic congestive heart failure or has a pre study echocardiogram or multigated acquisition scan with left ventricular ejection fraction that is>= 10% below the lower limit of normal institutional range"
NCT01204710:I.2005,"history of prior treatment with other agents that directly inhibit PDGF or platelet-derived growth factor receptors"
NCT01204710:I.2006,"known allergy to any of the treatment components: IMC 3G3, mitoxantrone, and/or prednisone"
NCT01204710:I.2007,"radiotherapy within 21 days prior to first dose of IMC-3G3"
NCT01204710:I.2008,"any investigational therapy within 30 days of randomization"
NCT01204710:I.2009,"is receiving corticosteroids at a dose>5 mg prednisone orally (PO) 2 times per day (BID) or equivalent"
NCT01204710:I.2010,"received prior strontium-89, rhenium-186, rhenium-188, or samarium-153 radionucleotide therapy and has either ongoing evidence of bone marrow dysfunction or poorly controlled bone pain"
NCT01204710:I.2011,"has any ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, serious cardiac arrhythmia, psychiatric illness, active bleeding or pathological condition that carries a high risk of bleeding, or any other serious uncontrolled medical disorders"
NCT01204710:I.2012,"known or suspected brain or leptomeningeal metastases"
NCT01204710:I.2013,"known human immunodeficiency virus infection or acquired immunodeficiency syndrome-related illness"
NCT01206647:I.1001,"age 18 Years to 80 Years"
NCT01206647:I.1002,"Diabetes Mellitus, Type 2"
NCT01206647:I.1003,"Combination of OAD and basal insulin treatment (BOT) or intensified conventional therapy (ICT,>2 injections of basal and prandial) or conventional insulin therapy (CIT, 1 or 2 injections of basal or biphasic)"
NCT01206647:I.1004,"Hemoglobin A1c (HbA1c)"
NCT01206647:I.1005,"History of - insulin therapy"
NCT01206647:I.1006,"Insulin dose<120 IU/day"
NCT01206647:I.1007,"Fasting C-peptide>0.6 ng/l"
NCT01206647:I.1008,"Elevated fasting glucose"
NCT01206647:I.1009,"Full legal, mental and physical ability to give informed consent"
NCT01206647:I.1010,"Patient consent that the general physician will be informed of trail participation"
NCT01206647:I.1011,"Experience in self measurement of blood glucose>1 year"
NCT01206647:I.2001,"Diabetes Mellitus, Insulin-Dependent"
NCT01206647:I.2002,"History of drug or alcohol abuse within the last five years prior to screening"
NCT01206647:I.2003,"History of severe or multiple allergies"
NCT01206647:I.2004,"Progressive fatal disease"
NCT01206647:I.2005,"History of significant cardiovascular, respiratory, gastrointestinal, hepatic (ALAT and/or ASAT>3 times the normal reference range), neurological, psychiatric and/or haematological disease as judged by the investigator"
NCT01206647:I.2006,"Renal insufficiency or history of significant renal diseases (creatinine clearance<60 ml/min determined using the Cockroft-Goult equation)."
NCT01206647:I.2007,"Contra-indications for study drugs including contraindications for the rescue drugs"
NCT01206647:I.2008,"Anamnestic history of hypersensitivity to the study drugs or to drugs with similar chemical structures"
NCT01206647:I.2009,"Pregnancy or breast feeding"
NCT01206647:I.2010,"Sexually active women of childbearing potential not consistently and correctly practicing birth control by implants, injectables, combined oral contraceptives, hormonal intrauterine devices (IUDs), sexual abstinence or vasectomised partner"
NCT01206647:I.2011,"Treatment with any other investigational drug within 3 months prior to screening"
NCT01206647:I.2012,"Lack of compliance or other similar reason, that according to investigator, precludes satisfactory participation in the study"
NCT01206803:I.1001,"age 18 Years to 45 Years"
NCT01206803:I.1002,"Infertility, Subfertility"
NCT01206803:I.1003,"Female patients for who the treating physician decides that treatment with long acting FSH 150microg in a GnRH-antagonist protocol is indicated."
NCT01206803:I.2001,"Contraindications for the use of gonadotropins (e.g., tumors, pregnancy/lactation, undiagnosed vaginal bleeding, hypersensitivity, ovarian cysts) Use of hormonal preparations within one month prior to inclusion"
NCT01209286:I.1001,"age at least 18 Years"
NCT01209286:I.1002,"Patients with B-precursor ALL relapsed after at least induction and consolidation or having refractory disease"
NCT01209286:I.1003,"More than 5% blasts in bone marrow"
NCT01209286:I.1004,"ECOG performance status finding<= 2"
NCT01209286:I.1005,"Life expectancy of>= 12 weeks"
NCT01209286:I.2001,"History or presence of clinically relevant CNS pathology"
NCT01209286:I.2002,"Infiltration of cerebrospinal fluid (CSF) by ALL"
NCT01209286:I.2003,"Autologous/allogeneic HSCT within six weeks/three months prior to start of blinatumomab treatment"
NCT01209286:I.2004,"Active Graft-versus-Host Disease (GvHD)"
NCT01209286:I.2005,"Patients with Ph+ ALL eligible for treatment with dasatinib or imatinib"
NCT01209286:I.2006,"Cancer chemotherapy within two weeks prior to start of blinatumomab treatment"
NCT01209286:I.2007,"Immunotherapy (e.g. rituximab) within four weeks prior to start of blinatumomab treatment"
NCT01209286:I.2008,"Infection with HIV or hepatitis B (HBsAg positive) or hepatitis C virus (anti-HCV positive)"
NCT01209286:I.2009,"Pregnant or nursing women"
NCT01209286:I.2010,"Previous treatment with blinatumomab"
NCT01212991:I.1001,"age at least 18 Years"
NCT01212991:I.1002,"Histologically confirmed adenocarcinoma of the prostate without neuroendocrine differentiation or small cell features"
NCT01212991:I.1003,"Ongoing androgen deprivation therapy with a GnRH analogue or bilateral orchiectomy"
NCT01212991:I.1004,"Progressive disease despite androgen deprivation therapy as defined by rising PSA levels or progressive soft tissue or bony disease"
NCT01212991:I.1005,"No prior treatment with cytotoxic chemotherapy"
NCT01212991:I.1006,"Asymptomatic or mildly symptomatic from prostate cancer"
NCT01212991:I.2001,"Severe concurrent disease, infection, or co-morbidity that, in the judgment of the Investigator, would make the patient inappropriate for enrollment"
NCT01212991:I.2002,"Known or suspected brain metastasis or active leptomeningeal disease"
NCT01212991:I.2003,"History of another malignancy within the previous 5 years other than curatively treated non-melanomatous skin cancer"
NCT01217528:I.1001,"age at least 18 Years"
NCT01217528:I.1002,"Approved indication for new ICD implantation for primary prevention of sudden cardiac death"
NCT01217528:I.1003,"Written informed consent"
NCT01217528:I.2001,"ICD indication for secondary prevention reasons"
NCT01217528:I.2002,"ICD indication for electrical disorders (i.e. long/short QT syndrome, Brugada syndrome etc...)"
NCT01217528:I.2003,"ICD change or upgrade"
NCT01217528:I.2004,"Pregnancy, Gestation"
NCT01217528:I.2005,Nonage
NCT01217528:I.2006,"Patient is already participating to another study with active therapy arm"
NCT01217528:I.2007,"Patient will most likely not be able to participate to the routine follow ups in the study center."
NCT01229215:I.1001,"age 60 Years to 89 Years"
NCT01229215:I.1002,"Willingness and ability to provide signed Informed Consent. In addition, at U.S. sites, Health Insurance Portability and Accountability Act (HIPAA) authorization, in other countries, as applicable according to national laws"
NCT01229215:I.1003,"Well-demarcated area of GA secondary to age-related macular degeneration (AMD) in the absence of choroidal neovascularization (CNV)"
NCT01229215:I.2001,"History of vitrectomy surgery, submacular surgery, or other surgical intervention for AMD in the study eye"
NCT01229215:I.2002,"Previous subfoveal focal laser photocoagulation in the study eye"
NCT01229215:I.2003,"Laser photocoagulation in the study eye"
NCT01229215:I.2004,"Prior treatment with Visudyne, external-beam radiation therapy, or transpupillary thermotherapy in the study eye"
NCT01229215:I.2005,"GA in either eye due to causes other than AMD"
NCT01229215:I.2006,"Diabetic retinopathy in either eye"
NCT01229215:I.2007,"Active or history of wet AMD in either eye"
NCT01229215:I.2008,"History of other disease, metabolic dysfunction, physical examination finding, or clinical laboratory finding giving reasonable suspicion of a disease or condition that contraindicates the use an investigational drug or that might affect interpretation of the results of the study or that renders the patient at high risk for treatment complications"
NCT01229215:I.2009,"Active malignancy or history of malignancy within the past 5 years"
NCT01229215:I.2010,"Previous participation in any studies of investigational drugs within 3 months preceding Day 0"
NCT01232452:I.1001,"age at least 18 Years"
NCT01232452:I.1002,"The patient has histologically or cytologically confirmed, nonsquamous (adenocarcinoma/large cell or other) NSCLC."
NCT01232452:I.1003,"The patient has Stage IV disease at the time of study entry."
NCT01232452:I.1004,"Patients with treated brain metastases are eligible if they are clinically stable with regard to neurologic function, off steroids after cranial irradiation (whole brain radiation therapy, focal radiation therapy, and stereotactic radiosurgery) ending at least 2 weeks prior to randomization, or after surgical resection performed at least 28 days prior to randomization. The patient may have no evidence of Grade 1 (or greater) Central Nervous System (CNS) hemorrhage based on pretreatment scans(performed within 21 days before randomization)."
NCT01232452:I.1005,"The patient has measurable or nonmeasurable disease according to Response Evaluation Criteria In Solid Tumors (RECIST) Version 1.1 guidelines."
NCT01232452:I.1006,"The patient has an Eastern Cooperative Oncology Group (ECOG) Performance Status (PS) of 0 or 1."
NCT01232452:I.1007,"If prior adjuvant chemotherapy, the last dose of adjuvant treatment was administered at least 6 months prior to randomization."
NCT01232452:I.1008,"The patient has adequate bone marrow reserve, and renal and hepatic function"
NCT01232452:I.1009,"The patient has fasting serum glucose<= 100 mg/dL, and hemoglobin A1C<= 6%."
NCT01232452:I.1010,"Females with reproductive potential: Must have a negative serum or urine pregnancy test within 7 days prior to the first dose of any study drug."
NCT01232452:I.1011,"Males and females with reproductive potential: Must agree to use medically approved contraceptive precautions during the study and for 6 months following the last dose of any study drug."
NCT01232452:I.1012,"The patient has the ability to understand and the willingness to sign a written informed consent form."
NCT01232452:I.1013,"Previous radiation therapy is allowed to<25% of the bone marrow, but should have been limited and must not have included whole pelvis radiation."
NCT01232452:I.1014,"The patient has archived tumor tissue available for analysis (can be either primary tumor or metastases)."
NCT01232452:I.1015,"The patient has an estimated life expectancy of at least 12 weeks."
NCT01232452:I.2001,"Are currently enrolled in, or discontinued within the last 30 days from, a clinical trial involving an investigational drug or device or off-label use of a drug or device, or concurrently enrolled in any other type of medical research judged not to be scientifically or medically compatible with this study."
NCT01232452:I.2002,"Patients who have squamous histology."
NCT01232452:I.2003,"The patient's tumor fully or partially contains Small Cell Lung Cancer (SCLC)."
NCT01232452:I.2004,"Leptomeningeal disease"
NCT01232452:I.2005,"The patient is currently or has previously received chemotherapy for advanced (Stage IV) NSCLC. Patients who have received adjuvant chemotherapy are eligible if the last administration of the prior adjuvant regimen occurred at least 6 months prior to randomization"
NCT01232452:I.2006,"The patient has a history of treatment with other agents targeting the Insulin-like or Epidermal Growth factor receptors."
NCT01232452:I.2007,"Patients who have received prior Pemetrexed treatment."
NCT01232452:I.2008,"The patient has a known allergy/history of hypersensitivity reaction to any of the treatment components."
NCT01232452:I.2009,"Diabetes mellitus"
NCT01232452:I.2010,"The patient has an uncontrolled intercurrent illness including, but not limited to, ongoing or active infection requiring parenteral antibiotics, symptomatic congestive heart failure, uncontrolled hypertension, clinically significant cardiac arrhythmia,or psychiatric/social situations that would limit compliance with study requirements."
NCT01232452:I.2011,"The patient has an ongoing or active infection requiring parenteral antibiotic, antifungal, or antiviral therapy."
NCT01232452:I.2012,"The patient has undergone major surgery within 28 days prior to randomization."
NCT01232452:I.2013,"The patient has received a prior autologous or allogeneic organ or tissue transplantation."
NCT01232452:I.2014,"The patient is pregnant or lactating."
NCT01232452:I.2015,"The patient has a history of another primary cancer, with the exception of the following: curatively resected nonmelanomatous skin cancer, curatively treated carcinoma in situ, or other primary solid tumor treated with curative intent and no known active disease present and no treatment administered during the last 5 years."
NCT01232452:I.2016,"The patient has superior vena cava syndrome contraindicating hydration."
NCT01232452:I.2017,"The patient has current clinically-relevant coronary artery disease (New York Heart Association III or IV) or uncontrolled congestive heart failure."
NCT01232452:I.2018,"The patient has any Grade 2 (or greater) peripheral neuropathy."
NCT01232452:I.2019,"The patient has clinically significant third-space fluid collections, for example, ascites or pleural effusions that cannot be controlled by drainage or other procedures prior to study entry."
NCT01232452:I.2020,"The patient is unable to interrupt aspirin or other nonsteroidal anti-inflammatory agents, other than an aspirin dose<= 1.3 grams per day, for a 5-day period (8-day period for long-acting agents, such as piroxicam)."
NCT01232452:I.2021,"The patient is unwilling or unable to take premedications (folic acid, vitamin B12, or corticosteroids) required by the pemetrexed label."
NCT01232452:I.2022,"The patient has received a recent (within 30 days of enrollment) or is receiving concurrent yellow fever vaccination."
NCT01233440:I.1001,"age 12 Years to 65 Years"
NCT01233440:I.1002,"Male, 12 - 65 years, with body weight>= 30 kg and<= 120 kg"
NCT01233440:I.1003,"Documented severe Hemophilia B (FIX activity of<= 2%) or tested by the central laboratory at screening"
NCT01233440:I.1004,"Subjects who have received FIX products for>150 exposure days (EDs) (estimated)"
NCT01233440:I.1005,"No confirmed prior history of FIX inhibitor (history of positive FIX inhibitor defined as two consecutive positive tests - a confirmatory test on a second, separately drawn sample shortly after the previous positive test) and confirmed no detectable FIX inhibitors (negative FIX inhibitor defined as<0.6 Bethesda Units [BU] by the central laboratory at screening"
NCT01233440:I.1006,"Subjects can be treated on-demand or under prophylactic therapy"
NCT01233440:I.1007,"Signed Informed Consent/Assent"
NCT01233440:I.2001,"Known hypersensitivity (allergic reaction or anaphylaxis) to any FIX product or hamster protein"
NCT01233440:I.2002,"Any known congenital or acquired coagulation disorder other than congenital FIX deficiency"
NCT01233440:I.2003,"Platelet count - finding"
NCT01233440:I.2004,"Immunocompromised (CD4 count<200/mm3), (HIV positive subjects may participate in the study and protease inhibitors and antiviral therapy are permitted, at the discretion of the Investigator)"
NCT01233440:I.2005,"Currently receiving IV immunomodulating agents such as immunoglobulin or chronic systemic corticosteroid treatment"
NCT01233440:I.2006,"Serum aspartate aminotransferase (AST) or serum alanine aminotransferase (ALT) concentration>5 times (x) the upper limit of normal (ULN)"
NCT01233440:I.2007,"Serum creatinine>2 x ULN"
NCT01233440:I.2008,"Evidence of thrombosis, including deep vein thrombosis, stroke, pulmonary embolism, myocardial infarction and arterial embolus within 3 months prior to enrollment"
NCT01233440:I.2009,"Use of an Investigational Medicinal Product (IMP) within 30 days prior to the first rIX-FP administration"
NCT01233440:I.2010,"Experienced life-threatening bleeding episode or had major surgery or an orthopedic surgical procedure during the 3 months prior to study entry"
NCT01233440:I.2011,"Subject currently on a dose and/or regimen of FIX that would preclude participation in the study due to possible increased risk of bleeding because of the requirement to withhold treatment during the PK sampling period"
NCT01233440:I.2012,"Suspected inability (e.g., language problem or mental condition) or unwillingness to comply with study procedures or history of noncompliance"
NCT01234311:I.1001,"age at least 18 Years"
NCT01234311:I.1002,"Age at least 18 years at the time of signing the informed consent form. For patients in Taiwan the minimum age is 20 years."
NCT01234311:I.1003,"Histologically confirmed diagnosis of adenocarcinoma of the prostate."
NCT01234311:I.1004,"Evidence of bone metastatic disease on radiographic examination, whether from bone scan or other imaging modality."
NCT01234311:I.1005,"Castrate levels of serum testosterone (?50 ng/dL or 1.7 nmol/L)."
NCT01234311:I.1006,"Evidence of progressive disease."
NCT01234311:I.1007,"Karnofsky performance status (assessment scale)"
NCT01234311:I.1008,"Meet screening laboratory values as specified in the protocol."
NCT01234311:I.1009,"If sexually active with partner of childbearing potential, patient will agree to use adequate contraceptive methods (barrier contraceptive with spermicide or vasectomy) while on study drug. The adequate contraceptive method should be continued for 14 days after the patient stops taking study drug."
NCT01234311:I.1010,"No evidence (within 5 years) of prior malignancies (except successfully treated basal cell or squamous cell carcinoma of the skin)."
NCT01234311:I.1011,"Able to swallow and retain oral medication."
NCT01234311:I.1012,"Able to adhere to the study visit schedule and other protocol requirements."
NCT01234311:I.1013,"Ability to comprehend the full nature and purpose of the study, including possible risks and side effects; ability to cooperate with the investigator and to comply with the requirements of the entire study."
NCT01234311:I.1014,"Able (or patient's legal guardian, if applicable) to sign and date the written informed consent after being informed of the full nature and purpose of the study, including possible risks and side effects, and given ample time and opportunity to read and understand this information."
NCT01234311:I.2001,"Prior cytotoxic chemotherapy for the treatment of prostate ca within 2 years or within 4 weeks for Estracyt (estramustine) prior to study treatment."
NCT01234311:I.2002,"Previous anticancer therapy using radiation, biologics or vaccines, including abiraterone, TAK-700 (Orteronel), or MDV3100 within 4 weeks prior or sipuleucel-T (Provenge) within 2 weeks prior to the start of study treatment. If radiation therapy is applied after baseline scan, a new baseline scan needs to be done at least 4 weeks after the radiation therapy."
NCT01234311:I.2003,"Previous therapy with antiandrogens within 4 weeks (within 6 weeks for bicalutamide eg, Casodex) prior to study treatment."
NCT01234311:I.2004,"Concurrent use of other anticancer agents or treatments, with the following exceptions:"
NCT01234311:I.2005,"Ongoing treatment with luteinizing hormone-releasing hormone agonists or antagonists, denosumab (Prolia) or bisphosphonate (eg, zoledronic acid) is allowed. Ongoing treatment should be kept at a stable schedule; however, if medically required, a change of dose, compound, or both is allowed."
NCT01234311:I.2006,"Any treatment modalities involving major surgery within 4 weeks prior to the start of study treatment."
NCT01234311:I.2007,"Prostate ca pain that requires ongoing treatment with narcotic analgesics or warrants the initiation of radio- or chemotherapy."
NCT01234311:I.2008,"Ongoing treatment with warfarin unless the international normalized ratio (INR) is well controlled and below 4 (Section 4.6.8.1)."
NCT01234311:I.2009,"Maintenance treatment with corticosteroids corresponding to a prednisolone or prednisone dose above 10 mg/day. The dose must have been stable for at least 5 days."
NCT01234311:I.2010,"Systemic exposure to ketoconazole or other strong cytochrome P450 (CYP) 3A4 isozyme inhibitors or inducers within 14 days prior to the start of study treatment. Systemic exposure to amiodarone is not allowed within 1 year prior to the start of study treatment."
NCT01234311:I.2011,"Ongoing treatment with sensitive CYP1A2 substrate or CYP1A2 substrate with narrow therapeutic range at the start of study treatment."
NCT01234311:I.2012,"Ongoing treatment with CYP3A4 substrate with narrow therapeutic range at the start of study treatment."
NCT01234311:I.2013,"Simultaneous participation in any other study involving treatment with investigational drugs or having received treatment with investigational drugs<4 weeks prior to the start of study treatment."
NCT01234311:I.2014,"Myocardial infarction, percutaneous coronary intervention, acute coronary syndrome, coronary artery bypass graft, class III/IV congestive heart failure, cerebrovascular accident, transient ischemic attack, or limb claudication at rest, within 6 months prior to start of study treatment and ongoing symptomatic dysrhythmias, unstable angina, uncontrolled hypertension, and uncontrolled atrial or ventricular arrhythmias."
NCT01234311:I.2015,"History of pancreatitis."
NCT01234311:I.2016,"Known brain or epidural metastases."
NCT01234311:I.2017,"Known positive serology for HIV (patients with known history of HIV will be excluded because of potential for unforeseen toxicity and morbidity in an immunocompromised host)."
NCT01234311:I.2018,"Chronic hepatitis with advanced, decompensated hepatic disease or cirrhosis of the liver or history of a chronic viral hepatitis or known viral hepatitis carrier (patients who have recovered from hepatitis will be allowed to enter the study)."
NCT01234311:I.2019,"Patients with active tuberculosis (TB), or with known, untreated latent TB. (Country-specific TB therapy should have been given for at least 30 days prior to the start of study treatment and the patient should intend to complete the entire course of that therapy.)"
NCT01234311:I.2020,"Any condition, including other active or latent infections, medical or psychiatric conditions, or the presence of laboratory abnormalities, which could confound the ability to interpret data from the study or places the patient at unacceptable risk if he participates in the study."
NCT01234311:I.2021,"Any patient who in the opinion of the investigator should not participate"
NCT01234727:I.1001,"age 18 Years to 75 Years"
NCT01234727:I.1002,"Subjects diagnosed with type 1 or type 2 diabetes mellitus"
NCT01234727:I.1003,"Patients with stable blood glucose in judgment of the investigator."
NCT01234727:I.1004,"Subjects receive intensive insulin therapy (Multiple Daily Injection defined as at least two insulin injections per day)"
NCT01234727:I.1005,"Patients perform blood glucose self measurements on a routine basis"
NCT01234727:I.1006,"Patients must have experience in self measurement blood glucose for at least 6 months."
NCT01234727:I.2001,"Patients with unstable blood glucose in judgment of the investigator."
NCT01234727:I.2002,"Patient has been diagnosed with progressive / serious diseases that in judgment of the investigator preclude successful completion of the observational period."
NCT01234727:I.2003,"Lack of compliance or other justifications that, in the discretion of the investigator, precludes satisfactory participation in the study."
NCT01234727:I.2004,"Subject without legal capacity."
NCT01234727:I.2005,"Blood donation within the last 30 days."
NCT01234727:I.2006,"Pregnancy, Gestation"
NCT01234727:I.2007,"Subject has already participated in the study."
NCT01238029:I.1001,"age at least 18 Years"
NCT01238029:I.1002,"Written informed consent"
NCT01238029:I.1003,"Able to comply with the protocol"
NCT01238029:I.1004,"ECOG performance status 0-1"
NCT01238029:I.1005,"Adequate contraception"
NCT01238029:I.1006,"Confirmed Her2/neu-positive, adenocarcinoma of the breast"
NCT01238029:I.1007,"At least one measurable lesion according to RECIST 1.1 criteria"
NCT01238029:I.1008,"First or second chemotherapy after diagnosis of metastasis"
NCT01238029:I.1009,"Lapatinib treatment indicated (adjuvant trastuzumab treatment<12 months ago or progressive disease with trastuzumab treatment)"
NCT01238029:I.1010,"No signs and symptoms of CHF (chronic heart failure), LVEF (left ventricular ejection fraction) at study start at least 55%"
NCT01238029:I.1011,"Adequate hepatic and renal function value"
NCT01238029:I.1012,"Adequate hematologic function values"
NCT01238029:I.2001,"Pregnant or lactating women"
NCT01238029:I.2002,"Concurrent participation in another clinical trial. Prior participation is allowed if the last study medication was administered more than 4 weeks prior to randomization"
NCT01238029:I.2003,"Asymptomatic with regards to tumor illness"
NCT01238029:I.2004,"Previous treatment with lapatinib, capecitabine or vinorelbine"
NCT01238029:I.2005,"Necessity of planned treatment with other chemotherapeutics oder anti-hormone therapy"
NCT01238029:I.2006,"Major surgical procedure, open biopsy or significant traumatic injury within 28 days prior to randomization, or anticipation of the need for major surgery during the course of the study"
NCT01238029:I.2007,"Evidence of cardiovascular disease, e.g. myocardial infection, unstable angina pectoris or arrhythmia"
NCT01238029:I.2008,"History of vascular or cardiovascular disease within the past 6 months"
NCT01238029:I.2009,"All illnesses that result in malabsorption of oral medication or inability to take oral medication"
NCT01238029:I.2010,"Concurrent treatment with anti-viral drugs based on sorivudine or with aminoglycosides"
NCT01238029:I.2011,"Concurrent treatment with any drug interfering with study medication, especially, those that induce CYP3A"
NCT01238029:I.2012,"Concurrent treatment with allopurinol"
NCT01238029:I.2013,"Other malignancies (except for basal cell carcinoma of the skin and cervical carcinoma in situ). Patient can be included in the study if no recurrent disease has been observed for at least 5 years"
NCT01238029:I.2014,"Concurrent illnesses or other circumstances that could interfere with trial participation, efficacy or safety of the patient"
NCT01239797:I.1001,"age at least 18 Years"
NCT01239797:I.1002,"Multiple Myeloma"
NCT01239797:I.1003,"Documented progression from most recent line of therapy"
NCT01239797:I.1004,"1 - 3 prior lines of therapy"
NCT01239797:I.1005,"Measurable Disease"
NCT01239797:I.1006,"Life expectancy>=3 months"
NCT01239797:I.1007,"Prior treatment with Lenalidomide permitted if:"
NCT01239797:I.1008,"Best response achieved was ? Partial Response (PR)"
NCT01239797:I.1009,"Patient was not refractory"
NCT01239797:I.1010,"Patient did not discontinue due to a Grade ? 3 related adverse event"
NCT01239797:I.1011,"Subject did not receive>9 cycles of Lenalidomide and had at least 9 months between the last dose of Lenalidomide and progression"
NCT01239797:I.2001,"Subjects with non-secretory or oligo-secretory or free light-chain only myeloma"
NCT01239797:I.2002,"Active plasma cell leukemia"
NCT01239797:I.2003,"Positive for Hepatitis B, C or Human Immunodeficiency Virus (HIV)"
NCT01241396:I.1001,"age at least 18 Years"
NCT01241396:I.1002,"Requires commencement of a new line of treatment for MMY at any stage, regardless of type of therapy selected."
NCT01241396:I.2001,"Patients currently participating in another investigational study or clinical trial."
NCT01241448:I.1001,"age 18 Years to 70 Years"
NCT01241448:I.1002,"Have a diagnosis of Type 2 diabetes mellitus according to the World Health Organization (WHO) diagnostic criteria"
NCT01241448:I.1003,"Are women not of child-bearing potential due to surgical sterilization (hysterectomy or bilateral oophorectomy or tubal ligation) or menopause."
NCT01241448:I.1004,"Are male patients using a reliable method of birth control during the study and until 3 months after the last dose of study medication."
NCT01241448:I.1005,"Are being treated with either diet and exercise alone, or with diet and exercise in combination with metformin. Metformin therapy must have been stable and unchanged for at least 3 months prior to screening and at a dose of at least 1000 mg/day."
NCT01241448:I.1006,"Have an HbA1c value of 7.0% to 10.5% , inclusive."
